Timestamp,Autumn,Winter,Spring,Summer
0:00,0.33,0.33,0.50,0.90
1:00,0.33,0.33,0.50,0.90
2:00,0.33,0.33,0.50,0.90
3:00,0.33,0.33,0.50,0.90
4:00,0.33,0.33,0.50,0.90
5:00,0.33,0.33,0.50,0.90
6:00,1.00,1.00,1.00,0.90
7:00,4.00,4.00,1.00,0.90
8:00,4.00,4.00,4.00,0.90
9:00,3.00,3.00,3.00,0.90
10:00,2.00,3.00,3.00,2.10
11:00,2.00,3.00,3.00,0.90
12:00,1.00,0.33,0.50,0.90
13:00,1.00,0.33,0.50,0.90
14:00,1.00,0.33,0.50,2.10
15:00,0.33,0.33,0.50,0.90
16:00,0.33,0.33,0.50,0.90
17:00,0.33,0.33,0.50,0.90
18:00,0.33,0.33,0.50,0.90
19:00,0.33,0.33,0.50,0.90
20:00,0.33,0.33,0.50,0.90
21:00,0.33,0.33,0.50,0.90
22:00,0.33,0.33,0.50,0.90
23:00,0.33,0.33,0.50,0.90
